Bulan,jumlah_wisatawan,tahun,tanggal
1,156654,2012,1-2012
2,154698,2012,2-2012
3,165927,2012,3-2012
4,161005,2012,4-2012
5,185932,2012,5-2012
6,169682,2012,6-2012
7,190320,2012,7-2012
8,140077,2012,8-2012
9,182214,2012,9-2012
10,184894,2012,10-2012
11,185112,2012,11-2012
12,177335,2012,12-2012
1,160998,2013,1-2013
2,180441,2013,2-2013
3,186548,2013,3-2013
4,162682,2013,4-2013
5,179737,2013,5-2013
6,211118,2013,6-2013
7,188800,2013,7-2013
8,188854,2013,8-2013
9,201336,2013,9-2013
10,191460,2013,10-2013
11,199511,2013,11-2013
12,189005,2013,12-2013
1,187123,2014,1-2014
2,180362,2014,2-2014
3,194720,2014,3-2014
4,180787,2014,4-2014
5,184534,2014,5-2014
6,208624,2014,6-2014
7,169135,2014,7-2014
8,218903,2014,8-2014
9,174169,2014,9-2014
10,177274,2014,10-2014
11,180208,2014,11-2014
12,190598,2014,12-2014
1,165746,2015,1-2015
2,170741,2015,2-2015
3,203019,2015,3-2015
4,159873,2015,4-2015
5,189307,2015,5-2015
6,174319,2015,6-2015
7,175347,2015,7-2015
8,252914,2015,8-2015
9,212706,2015,9-2015
10,197487,2015,10-2015
11,216517,2015,11-2015
12,186299,2015,12-2015
1,153503,2016,1-2016
2,164317,2016,2-2016
3,202669,2016,3-2016
4,188369,2016,4-2016
5,187545,2016,5-2016
6,150956,2016,6-2016
7,217452,2016,7-2016
8,270496,2016,8-2016
9,229964,2016,9-2016
10,237914,2016,10-2016
11,219246,2016,11-2016
12,222844,2016,12-2016
1,189242,2017,1-2017
2,183977,2017,2-2017
3,215651,2017,3-2017
4,211131,2017,4-2017
5,204723,2017,5-2017
6,158147,2017,6-2017
7,279550,2017,7-2017
8,280737,2017,8-2017
9,219348,2017,9-2017
10,215612,2017,10-2017
11,217201,2017,11-2017
12,215450,2017,12-2017
1,209553,2018,1-2018
2,201981,2018,2-2018
3,244467,2018,3-2018
4,223814,2018,4-2018
5,190216,2018,5-2018
6,182887,2018,6-2018
7,321468,2018,7-2018
8,308231,2018,8-2018
9,250058,2018,9-2018
10,244775,2018,10-2018
11,206820,2018,11-2018
12,224989,2018,12-2018
1,174963,2019,1-2019
2,196183,2019,2-2019
3,214161,2019,3-2019
4,196977,2019,4-2019
5,156654,2019,5-2019
6,190031,2019,6-2019
7,267143,2019,7-2019
8,251596,2019,8-2019
9,211775,2019,9-2019
10,189759,2019,10-2019
11,183759,2019,11-2019
12,186723,2019,12-2019
1,173453,2020,1-2020
2,131032,2020,2-2020
3,52631,2020,3-2020
4,417,2020,4-2020
5,395,2020,5-2020
6,909,2020,6-2020
7,3119,2020,7-2020
8,4469,2020,8-2020
9,7468,2020,9-2020
10,10492,2020,10-2020
11,14309,2020,11-2020
12,21812,2020,12-2020