Objek Wisata,jumlah_wisatawan_di_dki,tahun
Taman Impian Jaya Ancol,15848956,2012
TMII,7888787,2012
Ragunan,4283895,2012
Monumen Nasional,1418469,2012
Museum Nasional,148118,2012
Museum Satria Mandala,50818,2012
Museum Sejarah Jakarta,396253,2012
Pelabuhan Sunda Kelapa,32067,2012
Taman Impian Jaya Ancol,15948829,2013
TMII,4483847,2013
Ragunan,3681968,2013
Monumen Nasional,1380868,2013
Museum Nasional,169527,2013
Museum Satria Mandala,46002,2013
Museum Sejarah Jakarta,371467,2013
Pelabuhan Sunda Kelapa,40210,2013
Taman Impian Jaya Ancol,16085604,2014
TMII,4587735,2014
Ragunan,4100570,2014
Monumen Nasional,1156208,2014
Museum Nasional,245848,2014
Museum Satria Mandala,38756,2014
Museum Sejarah Jakarta,196433,2014
Pelabuhan Sunda Kelapa,50779,2014
Taman Impian Jaya Ancol,16661517,2015
TMII,5575905,2015
Ragunan,5157035,2015
Monumen Nasional,1539195,2015
Museum Nasional,266359,2015
Museum Satria Mandala,49964,2015
Museum Sejarah Jakarta,535144,2015
Pelabuhan Sunda Kelapa,63220,2015
Taman Impian Jaya Ancol,17850284,2016
TMII,4977704,2016
Ragunan,5177877,2016
Monumen Nasional,1878155,2016
Museum Nasional,380762,2016
Museum Satria Mandala,37969,2016
Museum Sejarah Jakarta,733921,2016
Pelabuhan Sunda Kelapa,43398,2016
Taman Impian Jaya Ancol,19261212,2017
TMII,5704712,2017
Ragunan,5366148,2017
Monumen Nasional,1866428,2017
Museum Nasional,293918,2017
Museum Satria Mandala,36144,2017
Museum Sejarah Jakarta,798139,2017
Pelabuhan Sunda Kelapa,58284,2017
Taman Impian Jaya Ancol,17575914,2018
TMII,6004718,2018
Ragunan,5458379,2018
Monumen Nasional,1973804,2018
Museum Nasional,307577,2018
Museum Satria Mandala,11693,2018
Museum Sejarah Jakarta,840671,2018
Pelabuhan Sunda Kelapa,49842,2018
Taman Impian Jaya Ancol,9282441,2019
TMII,5071980,2019
Ragunan,5407858,2019
Monumen Nasional,12112946,2019
Museum Nasional,305086,2019
Museum Satria Mandala,17132,2019
Museum Sejarah Jakarta,746971,2019
Pelabuhan Sunda Kelapa,38058,2019
Taman Impian Jaya Ancol,2351961,2020
TMII,1123542,2020
Ragunan,633963,2020
Monumen Nasional,443034,2020
Museum Nasional,67088,2020
Museum Satria Mandala,3183,2020
Museum Sejarah Jakarta,153223,2020
Pelabuhan Sunda Kelapa,16348,2020