ds,y
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,2
2020-03-06,4
2020-03-07,4
2020-03-08,6
2020-03-09,19
2020-03-10,27
2020-03-11,34
2020-03-12,34
2020-03-13,69
2020-03-14,96
2020-03-15,117
2020-03-16,134
2020-03-17,172
2020-03-18,227
2020-03-19,311
2020-03-20,369
2020-03-21,450
2020-03-22,514
2020-03-23,579
2020-03-24,686
2020-03-25,790
2020-03-26,893
2020-03-27,1046
2020-03-28,1155
2020-03-29,1285
2020-03-30,1414
2020-03-31,1528
2020-04-01,1677
2020-04-02,1790
2020-04-03,1986
2020-04-04,2092
2020-04-05,2273
2020-04-06,2491
2020-04-07,2738
2020-04-08,2956
2020-04-09,3293
2020-04-10,3512
2020-04-11,3842
2020-04-12,4241
2020-04-13,4557
2020-04-14,4839
2020-04-15,5136
2020-04-16,5516
2020-04-17,5923
2020-04-18,6248
2020-04-19,6575
2020-04-20,6760
2020-04-21,7135
2020-04-22,7418
2020-04-23,7775
2020-04-24,8211
2020-04-25,8607
2020-04-26,8882
2020-04-27,9096
2020-04-28,9511
2020-04-29,9771
2020-04-30,10118
2020-05-01,10551
2020-05-02,10843
2020-05-03,11192
2020-05-04,11587
2020-05-05,12071
2020-05-06,12438
2020-05-07,12776
2020-05-08,13112
2020-05-09,13645
2020-05-10,14032
2020-05-11,14265
2020-05-12,14749
2020-05-13,15438
2020-05-14,16006
2020-05-15,16496
2020-05-16,17025
2020-05-17,17514
2020-05-18,18010
2020-05-19,18496
2020-05-20,19189
2020-05-21,20162
2020-05-22,20796
2020-05-23,21745
2020-05-24,22271
2020-05-25,22750
2020-05-26,23165
2020-05-27,23851
2020-05-28,24538
2020-05-29,25216
2020-05-30,25773
2020-05-31,26473
2020-06-01,26940
2020-06-02,27549
2020-06-03,28233
2020-06-04,28818
2020-06-05,29521
2020-06-06,30514
2020-06-07,31186
2020-06-08,32033
2020-06-09,33076
2020-06-10,34316
2020-06-11,35295
2020-06-12,36406
2020-06-13,37420
2020-06-14,38277
2020-06-15,39294
2020-06-16,40400
2020-06-17,41431
2020-06-18,42762
2020-06-19,43803
2020-06-20,45029
2020-06-21,45891
2020-06-22,46845
2020-06-23,47896
2020-06-24,49009
2020-06-25,50187
2020-06-26,51427
2020-06-27,52812
2020-06-28,54010
2020-06-29,55092
2020-06-30,56385
2020-07-01,57770
2020-07-02,59394
2020-07-03,60695
2020-07-04,62142
2020-07-05,63749
2020-07-06,64958
2020-07-07,66226
2020-07-08,68079
2020-07-09,70736
2020-07-10,72347
2020-07-11,74018
2020-07-12,75699
2020-07-13,76981
2020-07-14,78572
2020-07-15,80094
2020-07-16,81668
2020-07-17,83130
2020-07-18,84882
2020-07-19,86521
2020-07-20,88214
2020-07-21,89869
2020-07-22,91751
2020-07-23,93657
2020-07-24,95418
2020-07-25,97286
2020-07-26,98778
2020-07-27,100303
2020-07-28,102051
2020-07-29,104432
2020-07-30,106336
2020-07-31,108376
2020-08-01,109936
2020-08-02,111455
2020-08-03,113134
2020-08-04,115056
2020-08-05,116871
2020-08-06,118753
2020-08-07,121226
2020-08-08,123503
2020-08-09,125396
2020-08-10,127083
2020-08-11,128776
2020-08-12,130718
2020-08-13,132816
2020-08-14,135123
2020-08-15,137468
2020-08-16,139549
2020-08-17,141370
2020-08-18,143043
2020-08-19,144945
2020-08-20,147211
2020-08-21,149408
2020-08-22,151498
2020-08-23,153535
2020-08-24,155412
2020-08-25,157859
2020-08-26,160165
2020-08-27,162884
2020-08-28,165887
2020-08-29,169195
2020-08-30,172053
2020-08-31,174796
2020-09-01,177571
2020-09-02,180646
2020-09-03,184268
2020-09-04,187537
2020-09-05,190665
2020-09-06,194109
2020-09-07,196989
2020-09-08,200035
2020-09-09,203342
2020-09-10,207203
2020-09-11,210940
2020-09-12,214746
2020-09-13,218382
2020-09-14,221523
2020-09-15,225030
2020-09-16,228993
2020-09-17,232628
2020-09-18,236519
2020-09-19,240687
2020-09-20,244676
2020-09-21,248852
2020-09-22,252923
2020-09-23,257388
2020-09-24,262022
2020-09-25,266845
2020-09-26,271339
2020-09-27,275213
2020-09-28,278722
2020-09-29,282724
2020-09-30,287008
2020-10-01,291182
2020-10-02,295499
2020-10-03,299506
2020-10-04,303498
2020-10-05,307120
2020-10-06,311176
2020-10-07,315714
2020-10-08,320564
2020-10-09,324658
2020-10-10,328952
2020-10-11,333449
2020-10-12,336716
2020-10-13,340622
2020-10-14,344749
2020-10-15,349160
2020-10-16,353461
2020-10-17,357762
2020-10-18,361867
2020-10-19,365240
2020-10-20,368842
2020-10-21,373109
2020-10-22,377541
2020-10-23,381910
2020-10-24,385980
2020-10-25,389712
2020-10-26,392934
2020-10-27,396454
2020-10-28,400483
2020-10-29,404048
2020-10-30,406945
2020-10-31,410088
2020-11-01,412784
2020-11-02,415402
2020-11-03,418375
2020-11-04,421731
2020-11-05,425796
2020-11-06,429574
2020-11-07,433836
2020-11-08,437716
2020-11-09,440569
2020-11-10,444348
2020-11-11,448118
2020-11-12,452291
2020-11-13,457735
2020-11-14,463007
2020-11-15,467113
2020-11-16,470648
2020-11-17,474455
2020-11-18,478720
2020-11-19,483518
2020-11-20,488310
2020-11-21,493308
2020-11-22,497668
2020-11-23,502110
2020-11-24,506302
2020-11-25,511836
2020-11-26,516753
2020-11-27,522581
2020-11-28,527999
2020-11-29,534266
2020-11-30,538883
2020-12-01,543975
2020-12-02,549508
2020-12-03,557877
2020-12-04,563680
2020-12-05,569707
2020-12-06,575796
2020-12-07,581550
2020-12-08,586842
2020-12-09,592900
2020-12-10,598933
2020-12-11,605243
2020-12-12,611631
2020-12-13,617820
2020-12-14,623309
2020-12-15,629429
2020-12-16,636154
2020-12-17,643508
2020-12-18,650197
2020-12-19,657948
2020-12-20,664930
2020-12-21,671778
2020-12-22,678125
2020-12-23,685639
2020-12-24,692838
2020-12-25,700097
2020-12-26,706837
2020-12-27,713365
2020-12-28,719219
2020-12-29,727122
2020-12-30,735124
2020-12-31,743198
2021-01-01,751270
2021-01-02,758473
2021-01-03,765350
2021-01-04,772103
2021-01-05,779548
2021-01-06,788402
2021-01-07,797723
2021-01-08,808340
2021-01-09,818386
2021-01-10,828026
2021-01-11,836718
2021-01-12,846765
2021-01-13,858043
2021-01-14,869600
2021-01-15,882418
2021-01-16,896642
2021-01-17,907929
2021-01-18,917015
2021-01-19,927380
2021-01-20,939948
2021-01-21,951651
2021-01-22,965283
2021-01-23,977474
2021-01-24,989262
2021-01-25,999256
2021-01-26,1012350
2021-01-27,1024298
2021-01-28,1037993
2021-01-29,1051795
2021-01-30,1066313
2021-01-31,1078314
2021-02-01,1089308
2021-02-02,1099687
2021-02-03,1111671
2021-02-04,1123105
2021-02-05,1134854
2021-02-06,1147010
2021-02-07,1157837
2021-02-08,1166079
2021-02-09,1174779
2021-02-10,1183555
2021-02-11,1191990
2021-02-12,1201859
2021-02-13,1210703
2021-02-14,1217468
2021-02-15,1223930
2021-02-16,1233959
2021-02-17,1243646
2021-02-18,1252685
2021-02-19,1263299
2021-02-20,1271353
2021-02-21,1278653
2021-02-22,1288833
2021-02-23,1298608
2021-02-24,1306141
2021-02-25,1314634
2021-02-26,1322866
2021-02-27,1329074
2021-02-28,1334634
2021-03-01,1341314
2021-03-02,1347026
2021-03-03,1353834
2021-03-04,1361098
2021-03-05,1368069
2021-03-06,1373836
2021-03-07,1379662
2021-03-08,1386556
2021-03-09,1392945
2021-03-10,1398578
2021-03-11,1403722
2021-03-12,1410134
2021-03-13,1414741
2021-03-14,1419455
2021-03-15,1425044
2021-03-16,1430458
2021-03-17,1437283
2021-03-18,1443853
2021-03-19,1450132
2021-03-20,1455788
2021-03-21,1460184
2021-03-22,1465928
2021-03-23,1471225
2021-03-24,1476452
2021-03-25,1482559
2021-03-26,1487541
2021-03-27,1492002
2021-03-28,1496085
2021-03-29,1501093
2021-03-30,1505775
2021-03-31,1511712
2021-04-01,1517854
2021-04-02,1523179
2021-04-03,1527524
2021-04-04,1534255
2021-04-05,1537967
2021-04-06,1542516
2021-04-07,1547376
2021-04-08,1552880
2021-04-09,1558145
2021-04-10,1562868
2021-04-11,1566995
2021-04-12,1571824
2021-04-13,1577526
2021-04-14,1583182
2021-04-15,1589359
2021-04-16,1594722
2021-04-17,1599763
2021-04-18,1604348
2021-04-19,1609300
2021-04-20,1614849
2021-04-21,1620569
2021-04-22,1626812
2021-04-23,1632248
2021-04-24,1636792
2021-04-25,1641194
2021-04-26,1647138
2021-04-27,1651794
2021-04-28,1657035
2021-04-29,1662868
2021-04-30,1668368
2021-05-01,1672880
2021-05-02,1677274
2021-05-03,1682004
2021-05-04,1686373
2021-05-05,1691658
2021-05-06,1697305
2021-05-07,1703632
2021-05-08,1709762
2021-05-09,1713684
2021-05-10,1718575
2021-05-11,1723596
2021-05-12,1728204
2021-05-13,1731652
2021-05-14,1734285
2021-05-15,1736670
2021-05-16,1739750
2021-05-17,1744045
2021-05-18,1748230
2021-05-19,1753101
2021-05-20,1758898
2021-05-21,1764644
2021-05-22,1769940
2021-05-23,1775220
2021-05-24,1781127
2021-05-25,1786187
2021-05-26,1791221
2021-05-27,1797499
2021-05-28,1803361
2021-05-29,1809926
2021-05-30,1816041
2021-05-31,1821703
2021-06-01,1826527
2021-06-02,1831773
2021-06-03,1837126
2021-06-04,1843612
2021-06-05,1850206
2021-06-06,1856038
2021-06-07,1863031
2021-06-08,1869325
2021-06-09,1877050
2021-06-10,1885942
2021-06-11,1894025
2021-06-12,1901490
2021-06-13,1911358
2021-06-14,1919547
2021-06-15,1927708
2021-06-16,1937652
2021-06-17,1950276
2021-06-18,1963266
2021-06-19,1976172
2021-06-20,1989909
2021-06-21,2004445
2021-06-22,2018113
2021-06-23,2033421
2021-06-24,2053995
2021-06-25,2072867
2021-06-26,2093962
2021-06-27,2115304
2021-06-28,2135998
2021-06-29,2156465
2021-06-30,2178272
2021-07-01,2203108
2021-07-02,2228938
2021-07-03,2256851
2021-07-04,2284084
2021-07-05,2313829
2021-07-06,2345018
2021-07-07,2379397
2021-07-08,2417788
2021-07-09,2455912
2021-07-10,2491006
2021-07-11,2527203
2021-07-12,2567630
2021-07-13,2615529
2021-07-14,2670046
2021-07-15,2726803
2021-07-16,2780803
2021-07-17,2832755
2021-07-18,2877476
2021-07-19,2911733
2021-07-20,2950058
2021-07-21,2983830
2021-07-22,3033339
2021-07-23,3082410
2021-07-24,3127826
2021-07-25,3166505
2021-07-26,3194733
2021-07-27,3239936
2021-07-28,3287727
2021-07-29,3331206
2021-07-30,3372374
2021-07-31,3409658
2021-08-01,3440396
2021-08-02,3462800
2021-08-03,3496700
2021-08-04,3532567
2021-08-05,3568331
2021-08-06,3607863
2021-08-07,3639616
2021-08-08,3666031
2021-08-09,3686740
2021-08-10,3718821
2021-08-11,3749446
2021-08-12,3774155
2021-08-13,3804943
2021-08-14,3833541
2021-08-15,3854354
2021-08-16,3871738
2021-08-17,3892479
2021-08-18,3908247
2021-08-19,3930300
2021-08-20,3950304
2021-08-21,3967048
2021-08-22,3979456
2021-08-23,3989060
2021-08-24,4008166
2021-08-25,4026837
2021-08-26,4043736
2021-08-27,4056354
2021-08-28,4066404
2021-08-29,4073831
2021-08-30,4079267
2021-08-31,4089801
2021-09-01,4100138
2021-09-02,4100138
2021-09-03,4116890
2021-09-04,4123617
2021-09-05,4129020
2021-09-06,4133433
2021-09-07,4140634
2021-09-08,4147365
2021-09-09,4153355
2021-09-10,4158731
2021-09-11,4163732
2021-09-12,4167511
2021-09-13,4170088
2021-09-14,4174216
2021-09-15,4178164
2021-09-16,4181309
2021-09-17,4185144
2021-09-18,4188529
2021-09-19,4190763
2021-09-20,4192695
2021-09-21,4195958
2021-09-22,4198678
2021-09-23,4201559
2021-09-24,4204116
2021-09-25,4206253
2021-09-26,4208013
2021-09-27,4209403
2021-09-28,4211460
2021-09-29,4213414
2021-09-30,4215104
2021-10-01,4216728
2021-10-02,4218142
2021-10-03,4219284
2021-10-04,4220206
2021-10-05,4221610
2021-10-06,4223094
2021-10-07,4224487
2021-10-08,4225871
2021-10-09,4227038
